time_s,rest_time_s,energy,food_items,searching,grabbing,deposit,homing,resting,avoidance,gamma_f,gamma_r,gamma_l,entered_deposit,completed_deposit
380.25,80.0,1228.0045966815494,3.114124465851755,2.7087201873349738,1.1351558353801152,0.5996249538320338,0.04945028109500089,3.3694663187175813,0.13758242364028617,0.009120193672979449,0.0044689953582081055,0.008545413163533685,0.01004974846342295,0.009939155692989112
385.25,80.0,1378.3497513585257,3.1127044333403497,2.6892407663129565,1.1324297745350633,0.6019013529728573,0.05023927206138032,3.3901357650615287,0.13605306905620537,0.00911617264426301,0.004443778481918459,0.008427953229519692,0.010090457374709271,0.009973830885050406
390.25,80.0,1531.0123353824283,3.1104602802385846,2.7125555072564045,1.12915787705669,0.6042852319274555,0.05100569316034257,3.368238207584483,0.13475748301461696,0.00910974378563112,0.0044704594686829635,0.008530326411565887,0.010129346525414492,0.01001072681965175
395.25,80.0,1684.221703801438,3.10808340785621,2.6933198947808146,1.1269010845522442,0.6060410579955311,0.05098135196945206,3.386692603510782,0.1360640071911683,0.009102751395433595,0.004447767399845537,0.008432491803445307,0.010107665371617952,0.01004974846342295
400.25,80.0,1839.8300450319607,3.1062780695777312,2.680900898381087,1.1251206414663721,0.6064263637626037,0.049373315363828385,3.403299804753064,0.13487897627303688,0.009097383115091118,0.00442718010266574,0.008356672572440388,0.010071569301402676,0.010090457374709271
405.25,80.0,1997.7426624731545,3.1054287305509316,2.674930631536241,1.1243892154835586,0.6050315496876398,0.04639632310591614,3.4151593943493204,0.13409288583731593,0.009094731673784495,0.00441225472501916,0.008318077647311063,0.010011411240450251,0.010129346525414492
410.25,80.0,2156.352016457186,3.1039129714496525,2.671158173359175,1.1231141875079458,0.6041704364065456,0.044636016124242096,3.423314337732953,0.13360684886913005,0.009090631949384753,0.00440213022950986,0.008294530855469485,0.010120888146834494,0.010107665371617952
415.25,80.0,2314.1404461511443,3.1017276364103106,2.667091744777275,1.1213397354727883,0.6045504331674086,0.044953389965423037,3.4289065288318445,0.13315816778525244,0.009084196905367103,0.0043951105505706245,0.00826798586444945,0.010098894390702797,0.010071569301402676
420.25,80.0,2470.237530041528,3.0999139839261995,2.6618396985370585,1.11996836864423,0.6055147466247193,0.04636485422113198,3.4335437854205137,0.13276854655233877,0.009078873117294162,0.0043894109437120354,0.008237298758129846,0.010086408474221842,0.010011411240450251
425.25,80.0,2627.89293784384,3.0980794630671955,2.6562132901768307,1.118507047677877,0.6058335083824437,0.04715980816782836,3.4399845276033583,0.13230181799165416,0.009073558329998233,0.004381703480037746,0.00820301320127692,0.010097888119065047,0.010120888146834494
430.25,80.0,2787.2246715541346,3.096123435344048,2.650983352475458,1.1169807904254607,0.6056042010662492,0.047223382964486096,3.4474270020296833,0.13178127103865506,0.00906786004955562,0.004372519837626654,0.008170591409566,0.010099342349044816,0.010098894390702797
435.25,80.0,2946.1340546723027,3.0940734406196566,2.645938443586391,1.1154118650835554,0.605840543306529,0.04726642431882734,3.454250517199582,0.13129220650510706,0.00906190029190157,0.0043641074073348385,0.008139266304753185,0.010105086017097168,0.010086408474221842
