time_s,macro_energy,micro_energy_mean,micro_energy_std
1235.25,33491.2541723048,42855.55,3815.774373898436
1240.25,33677.94911116851,43271.775,4225.877167006278
1245.25,33864.64439207394,43293.625,4079.735284381206
1250.25,34051.34002592132,43312.1,4088.719159467913
1255.25,34238.03601783719,44120.675,5013.364901752614
1260.25,34424.73236851649,43937.8,5046.339617485133
1265.25,34611.42907409507,43740.3,5069.416463953223
1270.25,34798.12612664885,43938.075,4783.525364532417
1275.25,34984.82351468989,44338.775,4269.747832791182
1280.25,35171.5212236054,44524.625,4327.708133715235
1285.25,35358.219235838165,44689.55,4218.537875852248
1290.25,35544.917530885046,45256.05,4291.39089893941
1295.25,35731.61608684369,45628.175,4403.010403476808
1300.25,35918.31488095361,46205.7,3603.4796912151455
1305.25,36105.01388890925,45986.375,3597.5246476744255
1310.25,36291.71308528738,46167.5,3164.8638458075884
1315.25,36478.412444574795,46334.45,3390.616068283167
1320.25,36665.11194267661,46908.15,3554.75835887617
1325.25,36851.81155611418,47697.825,3509.8678786565456
1330.25,37038.5112608708,47697.4,3921.4852674082554
1335.25,37225.211034284104,47889.325,3951.637436003586
1340.25,37411.91085535436,48080.35,3703.6997181872075
1345.25,37598.61070439825,48260.575,4128.639088806988
1350.25,37785.310563043335,48429.55,4129.94000077483
1355.25,37972.01041433459,48407.75,4507.263686262431
1360.25,38158.71024307721,48781.9,5365.469803754374
1365.25,38345.41003571125,48963.475,5144.8294814429955
1370.25,38532.10978023557,48941.225,5200.708773150541
1375.25,38718.80946646723,49312.675,4652.660568225991
1380.25,38905.50908584438,49285.7,4495.070527533468
1385.25,39092.20863138582,49864.125,5034.065583911775
1390.25,39278.90809774342,50042.1,4883.549834904933
1395.25,39465.60748114759,49806.8,4927.842886091236
1400.25,39652.30677933829,49967.45,4558.42549955574
1405.25,39839.00599122373,50145.875,4762.00873745786
1410.25,40025.70511677285,50126.775,5032.045998460765
1415.25,40212.404157322904,50518.925,4825.812659607188
1420.25,40399.103115226724,50509.05,4674.4202605777755
1425.25,40585.801993557485,50497.375,4508.389676827525
1430.25,40772.50079600718,50691.325,4404.594152771059
1435.25,40959.199526939105,50687.075,4263.479367034042
1440.25,41145.89819135145,51082.825,4443.948192556367
1445.25,41332.59679455618,50870.925,4472.666569075433
1450.25,41519.29534212978,51063.3,4078.6619585962258
1455.25,41705.99383987461,51063.325,4280.467695021772
1460.25,41892.69229370604,51061.1,4304.686174972572
1465.25,42079.39070956679,51453.025,4616.567873499208
1470.25,42266.089093347495,51847.2,5085.158248275073
1475.25,42452.78745082341,51836.2,5114.989146860431
1480.25,42639.48578758143,51809.9,4935.361161049918
1485.25,42826.18410894329,51982.925,5292.439826122259
1490.25,43012.882419956484,51953.475,5166.449079699228
1495.25,43199.58072535602,52125.825,5139.719543722692
1500.25,43386.27902949212,52503.8,5599.5348610398
1505.25,43572.97733630703,52488.075,5359.677486857301
1510.25,43759.67564934692,52472.125,5444.213341073712
1515.25,43946.37397179397,52648.975,5576.96936342894
1520.25,44133.072306423055,53037.3,5186.427390073055
1525.25,44319.77065554845,53627.875,4460.213438348551
1530.25,44506.46902109935,54032.625,4093.6127003693205
1535.25,44693.16740464229,54241.65,4232.766357832665
1540.25,44879.86580737256,54652.7,4296.50264575736
1545.25,45066.56423012405,54662.4,4448.804491377431
1550.25,45253.262673392834,54861.75,5087.105076809403
1555.25,45439.96113737591,54861.325,5284.009325372638
1560.25,45626.659621987244,55060.0,4919.810592136652
1565.25,45813.35812687902,55665.875,5783.121914513388
1570.25,46000.05665147866,56076.025,5347.976650624514
1575.25,46186.755195010956,56694.725,5480.120146322068
1580.25,46373.45375652596,56716.125,5766.680974843762
1585.25,46560.15233493074,56943.375,5837.882564819628
1590.25,46746.850929018205,56960.5,6160.59475720486
1595.25,46933.549537493906,57165.7,6302.842180120013
1600.25,47120.248158993076,57370.225,6324.6520027290835
1605.25,47306.946792104616,58381.5,5424.90170878699
1610.25,47493.6454354081,58798.85,4808.658594400314
1615.25,47680.34408748546,58819.575,4953.602731913915
1620.25,47867.04274693136,59239.85,4506.122406237983
1625.25,48053.7414123703,59456.75,4316.565327317542
1630.25,48240.44008247812,60086.7,4272.567765407589
1635.25,48427.138755997534,60515.075,4121.693972218825
1640.25,48613.83743173878,60536.7,4604.293558462579
1645.25,48800.536108590255,60347.75,4612.024222074295
1650.25,48987.23478552863,60146.65,4622.567610646707
1655.25,49173.933461623215,59932.95,4633.5338630466495
1660.25,49360.63213603921,60305.3,4260.619271009791
1665.25,49547.33080803931,60067.525,4287.2612549417845
1670.25,49734.02947698511,60230.875,4269.127900183479
1675.25,49920.72814233601,60195.125,4158.037288267747
1680.25,50107.42680364633,61368.15,4547.9876582946
1685.25,50294.12546056368,61554.45,4531.874633912549
1690.25,50480.8241128249,61941.875,4335.449848703707
1695.25,50667.52276024983,62939.425,4506.80296475506
1700.25,50854.22140273571,63542.375,4454.169308426095
1705.25,51040.92004025246,63937.45,4250.146079548325
1710.25,51227.618672837714,64333.875,4325.18986758096
1715.25,51414.31730058877,64528.725,4481.479538681951
1720.25,51601.01592365378,65335.725,3993.3269657799124
1725.25,51787.71454222759,65960.725,3522.6489206455135
1730.25,51974.413156545816,66185.05,3505.878181354851
1735.25,52161.11176687693,66410.05,3241.96684861212
1740.25,52347.81037351552,66429.2,3678.0394145522687
1745.25,52534.5089767762,66445.65,3465.704488628539
1750.25,52721.207576988614,66667.725,3718.1260542946898
1755.25,52907.906174491305,66885.075,4766.998390038012
1760.25,53094.6047696264,67105.575,4730.170496464689
1765.25,53281.303362735205,67115.725,4592.17556754149
1770.25,53468.00195415362,67722.725,4052.674347653041
1775.25,53654.70054420836,67946.15,3936.576334837164
1780.25,53841.39913321368,67959.675,3898.6304390933233
1785.25,54028.09772146859,68157.45,4369.676528073903
1790.25,54214.79630925435,67936.1,4373.871430437799
1795.25,54401.49489683233,67713.85,4380.545932301133
1800.25,54588.19348444249,67888.225,4342.350648626271
1805.25,54774.89207230274,68063.05,4153.97744156128
1810.25,54961.59066060807,67834.95,4161.965050910447
1815.25,55148.28924952965,68203.025,4165.73002073166
1820.25,55334.98783921502,68587.3,4128.783747667102
1825.25,55521.68642978859,69577.425,4119.490545034058
1830.25,55708.38502135223,69578.125,3896.258829393268
1835.25,55895.083613985706,69975.0,3769.8925382562297
1840.25,56081.78220774766,69956.125,3915.994304212533
1845.25,56268.48080267708,70337.7,4388.008087105127
1850.25,56455.17939879434,70727.375,4645.450624333984
1855.25,56641.87799610278,71328.75,4351.72750468133
1860.25,56828.57659459018,71733.725,4489.509247192281
1865.25,57015.27519423033,71544.55,4541.808535429471
1870.25,57201.97379498469,71348.175,4599.9931712585185
1875.25,57388.67239680395,71747.3,4870.740283570866
1880.25,57575.37099962971,71947.325,4724.352859188758
1885.25,57762.069603396085,71941.05,4814.274257092132
1890.25,57948.768208031135,72134.325,4363.543249255701
1895.25,58135.46681345835,72324.0,4722.442418918414
1900.25,58322.16541959815,72313.9,4424.2982228823585
1905.25,58508.8640263691,72697.95,4065.0597578633456
1910.25,58695.56263368917,72881.55,3948.0054312272673
1915.25,58882.26124147674,73061.775,3745.1754789495517
1920.25,59068.95984965165,73040.2,3499.516010822068
1925.25,59255.65845813614,73204.9,3572.1632350020063
1930.25,59442.35706685568,73772.75,3526.731659766589
1935.25,59629.05567573943,74152.075,3696.5370619845
1940.25,59815.75428472098,74130.275,3751.7138507787345
1945.25,60002.45289373869,74916.35,4139.3419785033475
1950.25,60189.1515027362,74893.65,3940.0170957750934
1955.25,60375.85011166247,74875.9,3789.734278613739
1960.25,60562.548720472114,74856.125,4142.293070042848
1965.25,60749.247329125355,75046.7,4480.928230846818
1970.25,60935.94593758805,75043.125,4489.771283498192
1975.25,61122.644545831594,75028.75,4782.164158359686
1980.25,61309.34315383287,75599.75,5388.221013238042
1985.25,61496.04176157396,75982.0,4947.152900911796
1990.25,61682.74036904182,76364.25,4563.718707096221
1995.25,61869.43897622818,76960.225,4627.20659179218
2000.25,62056.137583129144,77164.075,4545.127683918792
2005.25,62242.83618974476,77163.2,4573.133416761422
2010.25,62429.53479607877,77560.3,5086.875392615785
2015.25,62616.23340213816,77555.375,4949.368593883971
2020.25,62802.9320079328,77753.15,5334.042893528323
2025.25,62989.63061347504,78157.9,5571.590379101824
2030.25,63176.32921877933,78782.0,5037.18181005014
2035.25,63363.02782386183,79429.05,5019.631073096906
2040.25,63549.72642874011,79281.5,5016.521641037742
2045.25,63736.425033432715,79521.575,5301.225394955868
2050.25,63923.1236379588,79966.15,5142.2856520714595
2055.25,64109.822242338014,80412.975,5149.37940854284
2060.25,64296.52084659003,80654.4,4811.084145231717
2065.25,64483.21945073435,81101.675,4346.6280279229095
2070.25,64669.918054790105,81355.475,4769.4493503574395
2075.25,64856.61665877578,81605.45,4502.925021305596
2080.25,65043.315262709046,82065.55,4852.770405654897
2085.25,65230.01386660666,82122.95,4663.8402588424915
2090.25,65416.71247048431,82170.45,4725.78678079111
2095.25,65603.41107435647,82404.9,5048.970705995432
2100.25,65790.10967823639,82231.475,5082.498088354289
2105.25,65976.80828213601,82458.95,5040.34949532272
2110.25,66163.50688606592,82485.075,5039.0232660333095
2115.25,66350.20549003533,83307.15,4734.065470343646
2120.25,66536.90409405211,83131.025,4752.616842921908
2125.25,66723.60269812284,83546.125,5097.373776330807
2130.25,66910.30130225277,83545.25,5194.019641616693
2135.25,67096.99990644596,83930.875,4828.360046705817
2140.25,67283.69851070519,84514.25,4147.8879399641455
2145.25,67470.39711503226,84496.275,4101.045955683135
2150.25,67657.09571942786,84879.2,4602.074373040922
2155.25,67843.7943238918,84654.925,4610.668002103925
2160.25,68030.49292842291,84613.1,5088.652906467486
2165.25,68217.19153301942,84961.825,4945.393973246722
2170.25,68403.8901376788,84912.35,5017.068774693048
2175.25,68590.58874239794,84860.4,5145.184229208901
2180.25,68777.28734717333,85602.375,5566.249035762324
2185.25,68963.98595200099,85553.35,6043.6948282900585
2190.25,69150.68455687661,85296.45,6073.980146699527
2195.25,69337.38316179576,85237.075,6134.08884233225
2200.25,69524.08176675375,85576.8,5615.391537773658
2205.25,69710.7803717459,85922.15,5653.609640309455
2210.25,69897.47897676747,86272.9,6175.195335169568
2215.25,70084.17758181383,86631.75,6203.838717882662
2220.25,70270.87618688037,86794.2,5722.235272164192
2225.25,70457.57479196276,86958.0,5593.878008591178
2230.25,70644.27339705675,86925.625,5587.112150129528
2235.25,70830.9720021584,87296.175,5942.6986767902845
2240.25,71017.67060726404,88076.625,6137.887737497729
2245.25,71204.36921237025,88684.525,6357.403699083849
2250.25,71391.06781747393,89110.65,6498.977880405502
2255.25,71577.76642257225,89346.9,7008.411000540708
2260.25,71764.46502766278,89386.3,7532.616677489968
2265.25,71951.1636327434,89217.375,7570.363341882938
2270.25,72137.86223781222,89432.925,7233.083491024074
2275.25,72324.56084286778,89638.125,7053.0173040072
2280.25,72511.25944790893,89648.275,7084.9811365751
2285.25,72697.95805293473,89858.2,6965.590184794107
2290.25,72884.65665794456,90271.05,6580.461590762459
2295.25,73071.35526293806,90274.225,6319.280665599922
2300.25,73258.05386791514,90274.925,6105.972658031233
2305.25,73444.75247287586,91079.675,5981.268629072347
2310.25,73631.45107782053,91482.625,5667.703102062157
